ID;GENERO;RENTA;EDAD;NIV_EDUC;E_CIVIL;COD_OFI;COD_COM;CIUDAD;COL_1;COL_2;COL_3;COL_4;D_ACTUAL;D_MES_ANT;PROM_DEUDA;M_MOROSO;MONTO;SEGURO;OFERTA;
667;F       ;6.350.000;31;TEC     ;CAS     ;10;5;IQUIQUE         ;1.536.004;750.000;0;313.092;1.766;40.064;0;1;3.400.000;NO;NO ACEPTA;
668;M       ;1.200.000;36;UNV     ;SEP     ;90;89;SANTIAGO        ;0;0;0;1.000.000;0;0;1.018;0;6.000.000;NO;NO ACEPTA;
669;F       ;7.780.000;35;TEC     ;VIU     ;66;67;VINA DEL MAR    ;0;125.103;0;481.570;220;0;375;1;3.600.000;NO;NO ACEPTA;
670;M       ;1.000.000;41;MED     ;CAS     ;144;93;SANTIAGO        ;0;0;0;0;0;0;2;0;5.000.000;NO;NO ACEPTA;
671;F       ;63.000;29;TEC     ;SOL     ;37;88;SANTIAGO        ;0;500.000;0;24.763;341;0;239;1;1.900.000;SI;NO ACEPTA;
672;M       ;1.115.000;51;UNV     ;CAS     ;40;86;SANTIAGO        ;2.534.290;65.085;0;2.803.869;4.001;49.315;3.826;2;1.600.000;NO;ACEPTA;
673;F       ;491.000;29;TEC     ;SOL     ;30;107;SANTIAGO        ;0;167.092;0;0;21;0;47;1;1.800.000;NO;NO ACEPTA;
674;M       ;1.000.000;28;UNV     ;SOL     ;61;285;SAN PABLO       ;0;535.671;0;1.000.000;1.056;30.075;14.624;2;4.000.000;NO;NO ACEPTA;
675;M       ;70.000;46;MED     ;CAS     ;55;90;SANTIAGO        ;0;527.566;0;294.511;768;14.773;856;1;4.300.000;NO;ACEPTA;
676;F       ;3.500.000;56;MED     ;CAS     ;24;86;SANTIAGO        ;0;2.600.000;0;0;1;33.583;0;1;8.000.000;NO;NO ACEPTA;
677;M       ;600.000;35;UNV     ;CAS     ;96;131;RANCAGUA        ;0;185.398;0;251.048;444;0;25;1;2.000.000;SI;NO ACEPTA;
678;F       ;1.000.000;28;TEC     ;SOL     ;67;80;SANTIAGO        ;0;0;0;0;0;15.866;267;0;5.000.000;NO;NO ACEPTA;
679;F       ;449.000;36;MED     ;CAS     ;16;93;SANTIAGO        ;0;249.982;0;0;0;0;101;0;1.600.000;NO;NO ACEPTA;
680;F       ;80.000;41;TEC     ;SOL     ;27;228;PENCO           ;0;500.000;0;0;295;0;159;1;1.300.000;SI;NO ACEPTA;
681;M       ;60.400;40;UNV     ;CAS     ;55;90;SANTIAGO        ;1.046.135;48.582;0;0;1.444;0;0;1;1.500.000;NO;ACEPTA;
682;M       ;4.700.000;41;UNV     ;CAS     ;55;90;SANTIAGO        ;0;599.962;0;258;19;0;20.139;1;3.200.000;NO;ACEPTA;
683;M       ;724.000;47;MED     ;CAS     ;31;119;SANTIAGO        ;0;500.000;0;1.963;0;0;2;1;2.400.000;NO;ACEPTA;
684;M       ;61.400;40;UNV     ;CAS     ;55;90;SANTIAGO        ;0;1.698.845;4.171.316;0;1;0;4.855;1;8.000.000;NO;ACEPTA;
685;M       ;6.000.000;44;MED     ;CAS     ;55;90;SANTIAGO        ;314.474;0;0;0;419;0;0;1;1.800.000;NO;ACEPTA;
686;M       ;1.450.000;37;UNV     ;SOL     ;14;22;COPIAPO         ;1.417.578;1.353.610;0;0;1.875;29.427;17;1;4.500.000;NO;NO ACEPTA;
687;M       ;9.500.000;44;UNV     ;CAS     ;55;90;SANTIAGO        ;0;500.000;0;0;309;0;0;1;2.300.000;SI;ACEPTA;
688;F       ;46.100;48;TEC     ;SOL     ;93;88;SANTIAGO        ;0;500.000;0;2.000.000;710;0;2.035;1;6.300.000;SI;NO ACEPTA;
689;M       ;2.921.000;46;TEC     ;CAS     ;41;103;SANTIAGO        ;3.233.611;1.992.898;0;1.373.613;13.900;0;6.182;1;3.700.000;NO;NO ACEPTA;
690;F       ;80.000;46;TEC     ;SOL     ;105;59;QUILLOTA        ;0;0;0;0;40;0;0;1;5.000.000;SI;NO ACEPTA;
691;F       ;2.170.000;43;MED     ;CAS     ;92;117;SANTIAGO        ;0;0;0;0;337;0;2.639;3;8.000.000;NO;NO ACEPTA;
692;M       ;50.000;40;MED     ;CAS     ;55;90;SANTIAGO        ;0;398.106;0;0;508;0;16;2;5.100.000;NO;ACEPTA;
693;M       ;750.000;52;TEC     ;CAS     ;35;106;SANTIAGO        ;1.036.913;12.456;0;1.071.651;1.657;0;10.197;1;2.100.000;NO;ACEPTA;
694;M       ;52.700;44;UNV     ;CAS     ;55;90;SANTIAGO        ;0;0;0;600.000;0;0;3.168;1;2.000.000;NO;ACEPTA;
695;M       ;1.252.000;48;MED     ;SEP     ;117;88;SANTIAGO        ;0;588.394;0;0;5.769;0;156;2;500.000;SI;ACEPTA;
696;M       ;450.000;33;UNV     ;CAS     ;94;67;VINA DEL MAR    ;0;105.513;0;218.984;207;0;173;1;1.600.000;NO;NO ACEPTA;
697;F       ;1.300.000;50;UNV     ;CAS     ;85;93;SANTIAGO        ;0;187.156;0;0;418;10.083;0;3;6.100.000;NO;ACEPTA;
698;F       ;5.730.000;33;TEC     ;VIU     ;84;100;SANTIAGO        ;0;5.132;0;66.451;119;0;39;1;2.100.000;NO;NO ACEPTA;
