ID;GENERO;RENTA;EDAD;NIV_EDUC;E_CIVIL;COD_OFI;COD_COM;CIUDAD;COL_1;COL_2;COL_3;COL_4;D_ACTUAL;D_MES_ANT;PROM_DEUDA;M_MOROSO;MONTO;SEGURO;OFERTA;
832;F       ;78400;58;TEC     ;SOL     ;24;86;SANTIAGO        ;583010;500000;0;0;13;0;12215;1;3700000;SI;NO ACEPTA;
833;M       ;435000;49;UNV     ;SOL     ;138;1;ARICA           ;0;250000;0;0;684;0;0;1;1100000;NO;ACEPTA;
834;F       ;550000;38;TEC     ;CAS     ;88;67;VINA DEL MAR    ;0;25765;0;2500000;965;0;2582;2;1300000;NO;NO ACEPTA;
835;M       ;1700000;37;MED     ;CAS     ;71;326;PUNTA ARENAS    ;0;975318;0;4000000;1425;46679;10459;2;8000000;NO;NO ACEPTA;
836;F       ;6000000;28;TEC     ;SOL     ;13;16;ANTOFAGASTA     ;0;1289283;0;0;15;0;0;1;1400000;NO;NO ACEPTA;
837;F       ;80000;38;MED     ;SOL     ;81;67;VINA DEL MAR    ;0;1680000;0;1285895;1346;41826;3927;1;5000000;SI;NO ACEPTA;
838;M       ;900000;45;UNV     ;CAS     ;84;103;SANTIAGO        ;0;782994;0;977;0;20480;1;1;3800000;NO;ACEPTA;
839;M       ;50000;45;UNV     ;CAS     ;55;90;SANTIAGO        ;0;415976;0;1000000;2846;0;6024;3;4000000;SI;ACEPTA;
840;F       ;730000;40;MED     ;CAS     ;69;53;SAN FELIPE      ;0;391829;0;60716;282;0;160;1;2600000;NO;NO ACEPTA;
841;F       ;650000;41;TEC     ;CAS     ;60;291;PUERTO MONTT    ;420116;600000;0;0;487;0;109;1;1600000;NO;NO ACEPTA;
842;M       ;554000;48;UNV     ;SOL     ;138;1;ARICA           ;0;-6556;0;494530;192;0;466;1;2100000;NO;ACEPTA;
843;M       ;1647000;36;UNV     ;CAS     ;84;88;SANTIAGO        ;0;1150000;0;357032;0;39967;1223;0;8000000;NO;NO ACEPTA;
844;F       ;5000000;33;TEC     ;SOL     ;49;103;SANTIAGO        ;0;850000;0;206339;0;0;1012;0;1100000;NO;NO ACEPTA;
845;M       ;1193000;50;UNV     ;CAS     ;138;1;ARICA           ;0;500000;0;23441;0;0;206;1;5500000;NO;ACEPTA;
846;M       ;68600;45;UNV     ;CAS     ;55;90;SANTIAGO        ;0;800000;0;1251;1245;0;2023;2;3100000;NO;ACEPTA;
847;F       ;500000;53;TEC     ;CAS     ;103;115;SANTIAGO        ;0;210273;0;552842;0;6081;0;1;1800000;SI;ACEPTA;
848;M       ;750000;49;UNV     ;CAS     ;138;1;ARICA           ;0;58908;1882639;479066;169;0;2337;1;3600000;NO;ACEPTA;
849;M       ;804000;29;UNV     ;CAS     ;101;87;SANTIAGO        ;0;1500000;0;43430;0;12282;0;1;2600000;NO;ACEPTA;
850;F       ;64000;46;TEC     ;SOL     ;32;115;SANTIAGO        ;2973951;0;0;0;4357;0;0;1;1100000;SI;NO ACEPTA;
851;M       ;772000;51;UNV     ;CAS     ;138;1;ARICA           ;0;-17434;0;250000;1258;0;256;2;2700000;SI;ACEPTA;
852;F       ;6590000;44;UNV     ;CAS     ;102;88;SANTIAGO        ;0;12788;0;300000;331;0;12843;1;2500000;SI;ACEPTA;
853;M       ;504000;39;TEC     ;CAS     ;57;93;SANTIAGO        ;0;290259;0;694844;522;0;658;1;1500000;NO;NO ACEPTA;
854;M       ;470000;35;UNV     ;CAS     ;15;66;VALPARAISO      ;0;250000;4656889;0;0;0;4796;0;1700000;SI;NO ACEPTA;
855;M       ;52600;52;MED     ;CAS     ;41;105;SANTIAGO        ;0;238296;0;0;5;0;10113;1;2500000;NO;ACEPTA;
856;M       ;669000;41;UNV     ;CAS     ;23;173;TALCA           ;0;300000;0;0;220;0;12431;1;2400000;NO;NO ACEPTA;
857;F       ;483000;25;TEC     ;CAS     ;28;89;SANTIAGO        ;0;5106;0;188821;546;0;261;2;1400000;NO;NO ACEPTA;
858;M       ;500000;56;UNV     ;SOL     ;73;89;SANTIAGO        ;0;325889;0;0;2;0;30;1;1700000;NO;NO ACEPTA;
859;M       ;7000000;41;UNV     ;CAS     ;55;90;SANTIAGO        ;0;75516;0;965447;2819;10774;0;2;8000000;NO;ACEPTA;
860;F       ;2614000;53;TEC     ;CAS     ;85;88;SANTIAGO        ;0;2563919;0;0;179;0;10593;1;8000000;NO;NO ACEPTA;
861;M       ;65000;46;UNV     ;CAS     ;55;90;SANTIAGO        ;920838;4655418;0;0;1031;0;0;1;4100000;NO;ACEPTA;
862;F       ;60000;45;TEC     ;SOL     ;80;106;SANTIAGO        ;0;462530;0;2011935;1933;0;2053;1;700000;SI;NO ACEPTA;
863;M       ;781000;31;TEC     ;CAS     ;40;67;VINA DEL MAR    ;0;500000;0;471918;0;0;251;0;3500000;NO;NO ACEPTA;
864;F       ;670000;41;UNV     ;SOL     ;138;1;ARICA           ;0;16352;0;899587;1454;0;846;2;1300000;NO;ACEPTA;
865;M       ;7220000;42;UNV     ;CAS     ;55;90;SANTIAGO        ;0;275770;0;800000;23;34071;530;1;2400000;NO;ACEPTA;
866;M       ;1100000;49;UNV     ;CAS     ;138;1;ARICA           ;0;970100;0;0;5;0;0;1;4600000;NO;ACEPTA;
867;F       ;78000;40;TEC     ;SOL     ;139;86;SANTIAGO        ;0;650290;0;100000;132;0;102;1;4100000;SI;NO ACEPTA;
868;M       ;1066000;45;MED     ;CAS     ;31;119;SANTIAGO        ;0;1150000;0;489074;10;0;558;1;4200000;NO;ACEPTA;
869;F       ;59700;45;MED     ;SOL     ;16;88;SANTIAGO        ;0;700000;0;0;769;0;0;1;1300000;SI;NO ACEPTA;
870;M       ;4760000;41;UNV     ;CAS     ;80;112;SANTIAGO        ;0;0;0;0;2;0;28730;1;5400000;NO;ACEPTA;
871;M       ;1800000;39;MED     ;CAS     ;64;314;COYHAIQUE       ;0;500000;0;1000000;5814;89652;9953;2;5000000;NO;NO ACEPTA;
872;M       ;1877000;47;UNV     ;CAS     ;40;71;VLLA ALEMANA    ;0;286840;0;872;751;0;11932;2;8000000;NO;NO ACEPTA;
873;F       ;1197000;45;MED     ;SOL     ;54;89;SANTIAGO        ;0;657571;0;0;1212;18517;0;2;4800000;NO;NO ACEPTA;
874;F       ;59000;49;MED     ;VIU     ;16;89;SANTIAGO        ;0;0;0;0;83;0;0;1;7500000;SI;NO ACEPTA;
875;M       ;7500000;43;UNV     ;CAS     ;55;90;SANTIAGO        ;0;500000;0;372944;0;3320;0;1;2300000;SI;ACEPTA;
876;M       ;710000;37;TEC     ;CAS     ;79;153;SANTA CRUZ      ;0;615624;0;300000;508;3443;1691;3;2300000;NO;NO ACEPTA;
877;F       ;60100;40;MED     ;VIU     ;84;86;SANTIAGO        ;0;1500000;0;0;2610;0;71599;1;8000000;SI;NO ACEPTA;
878;M       ;1500000;38;TEC     ;SOL     ;59;88;SANTIAGO        ;0;0;0;0;7;0;0;1;7500000;NO;NO ACEPTA;
879;M       ;1400000;46;MED     ;CAS     ;138;1;ARICA           ;0;0;18842526;0;1132;0;30337;2;5900000;NO;ACEPTA;
880;M       ;9010000;34;UNV     ;CAS     ;55;90;SANTIAGO        ;1018179;0;0;0;1155;11508;102;1;1300000;NO;ACEPTA;
881;M       ;716000;40;MED     ;CAS     ;13;16;ANTOFAGASTA     ;0;300000;0;166;228;0;0;1;2600000;NO;NO ACEPTA;
882;M       ;80000;50;UNV     ;CAS     ;55;90;SANTIAGO        ;0;650000;0;343684;1049;0;351;1;1100000;NO;ACEPTA;
